Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
AIDS deaths,2017,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,152,3,5117892.00
AIDS deaths,2011,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,0.8,837028.00
AIDS deaths,2012,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,4,0.5,843229.00
AIDS deaths,2013,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,12,1.4,851634.00
AIDS deaths,2014,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,7,0.8,858974.00
AIDS deaths,2015,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,11,1.3,866602.00
AIDS deaths,2016,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,9,1,875704.00
AIDS deaths,2017,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,11,1.2,887128.00
AIDS deaths,2011,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,20,1.3,1503223.00
AIDS deaths,2012,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,25,1.7,1514247.00
AIDS deaths,2013,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,26,1.7,1525123.00
AIDS deaths,2014,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,23,1.5,1537771.00
AIDS deaths,2015,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,22,1.4,1547705.00
AIDS deaths,2016,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,26,1.7,1560378.00
AIDS deaths,2017,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,24,1.5,1571827.00
AIDS deaths,2011,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,4.9,2237368.00
AIDS deaths,2012,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,136,6,2271241.00
AIDS deaths,2013,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,115,5,2303590.00
AIDS deaths,2014,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,106,4.5,2343130.00
